"BRIGHT STARS,",Ascension,Declination
4227,10 50 13.7,C10 26 49
4232,10 50 32.3,16 17 27
4257,10 54 15.1,58 57 06
4247,10 54 20.5,C34 06 53
4259,10 56 36.7,C24 39 02
4273,10 57 35.0,37 14 15
4277,11 00 29.8,C40 19 52
4287,11 00 40.6,18 23 51
4293,11 01 00.4,42 19 31
4291,11 01 30.9,C03 31 04
4295,11 02 56.8,C56 16 58
4300,11 03 18.9,C20 04 49
4301,11 04 51.2,C61 39 03
4310,11 05 58.2,C07 14 08
4314,11 06 13.5,27 23 38
4337,11 09 23.2,59 04 32
4335,11 10 41.8,C44 23 52
4343,11 12 34.2,22 55 38
4350,11 13 23.9,49 12 06
4357,11 15 05.4,C20 25 19
4359,11 15 12.6,C15 19 41
4368,11 17 36.2,03 45 11
4369,11 17 54.5,07 14 09
4377,11 19 28.4,C32 59 35
4380,11 20 08.1,C38 05 02
4382,11 20 16.0,14 52 44
4390,11 21 51.4,54 35 33
4386,11 22 05.4,C05 55 40
4399,11 24 53.2,C10 25 39
4405,11 25 48.5,17 47 09
4418,11 28 53.3,C02 45 15
4434,11 32 28.9,C69 13 44
4450,11 33 54.9,31 57 36
4467,11 36 38.6,63 07 20
4466,11 36 49.7,47 44 40
4468,11 37 37.3,09 54 17
4471,11 37 53.8,00 55 34
4494,11 41 08.2,34 50 50
4496,11 42 01.2,C34 05 49
4504,11 43 29.4,C66 38 33
4511,11 44 24.7,62 35 32
4514,11 45 42.2,18 27 13
4520,11 46 29.5,66 49 53
4517,11 46 48.6,C06 25 32
4518,11 47 01.2,C47 40 36
4522,11 47 25.1,61 16 53
4527,11 48 56.3,C20 06 58
4532,11 49 41.3,26 51 10
4534,11 50 00.1,C14 28 07
4537,11 50 35.7,63 53 29
4540,11 51 39.5,C01 39 37
4546,11 52 04.5,45 16 35
4552,11 53 50.8,34 00 40
4554,11 54 47.8,C53 35 31
4564,11 56 37.5,C15 32 38
4567,11 56 57.7,17 15 14
4589,12 01 49.3,C06 30 40
4599,12 03 58.7,63 24 57
4600,12 04 37.4,42 32 15
4608,12 06 09.1,C08 37 49
4616,12 07 51.6,64 43 01
4618,12 09 03.2,50 45 51
4621,12 09 19.5,50 49 31
4623,12 09 22.3,24 49 55
4630,12 11 04.7,22 43 21
4638,12 12 37.6,52 28 17
4646,12 13 02.7,C77 30 49
4656,12 16 08.3,58 51 06
4660,12 16 20.0,C56 55 48
4662,12 16 45.6,17 38 40
4671,12 18 35.2,68 03 49
4679,12 19 27.2,64 06 21
4674,12 19 28.3,79 24 53
4690,12 20 43.1,C48 52 54
4689,12 20 51.2,00 46 10
4695,12 21 17.4,C03 12 35
4700,12 22 22.2,60 30 11
4707,12 23 26.0,C25 44 37
4728,12 26 45.4,C38 54 58
4730,12 27 38.5,63 12 05
4737,12 27 51.5,C28 09 57
4743,12 29 02.9,50 19 58
4748,12 29 21.8,39 08 36
4760,12 30 48.8,C58 18 15
4757,12 30 49.4,16 37 06
4763,12 32 12.2,57 13 00
4775,12 33 01.6,16 17 54
4773,12 33 35.7,72 14 06
4787,12 34 15.8,C69 41 11
4783,12 34 33.4,C33 08 44
4785,12 34 37.0,C41 15 26
4786,12 35 21.7,23 29 56
4789,12 35 46.3,C22 31 40
4792,12 36 03.4,C18 16 32
4798,12 38 18.4,69 14 14
4802,12 38 43.4,48 38 34
4813,12 40 12.2,08 05 50
4819,12 42 32.8,49 03 40
4825,12 42 35.9,01 33 03
4826,12 42 35.9,01 33 01
4828,12 42 49.2,C10 08 02
4839,12 45 00.0,28 25 31
4846,12 45 59.8,C45 20 22
4847,12 46 33.1,C07 34 21
4844,12 47 26.1,68 12 32
4853,12 48 48.9,59 47 22
4874,12 51 41.7,34 05 59
4883,12 52 35.9,C27 26 25
4888,12 54 10.2,49 02 37
4889,12 54 28.1,40 16 45
4905,12 54 50.3,C55 51 35
4902,12 55 19.0,09 38 21
4898,12 55 41.6,57 16 41
4916,12 56 12.4,C65 20 18
4910,12 56 32.2,C03 17 50
4915,12 56 53.4,C38 13 08
4870,12 57 07.6,85 13 23
4931,13 01 31.1,C56 16 01
4932,13 03 05.9,C10 51 36
4923,13 03 34.3,71 38 53
4943,13 06 36.2,C35 42 01
4942,13 08 00.0,50 00 18
